date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1625.00,1655.70,1615.85,1640.05,1618.21,SHORT,1625.00,615,1618.21,1618.21,true,40.00,398.91,3736.94,0.37,1003736.94
2025-01-03,1645.00,1657.95,1620.70,1629.75,1638.71,SHORT,1645.00,610,1638.71,1638.71,true,40.00,400.61,3396.29,0.34,1007133.22
2025-01-06,1640.00,1663.00,1635.00,1648.40,1632.09,SHORT,1640.00,614,1632.09,1648.40,false,40.00,403.82,-5601.42,-0.56,1001531.81
2025-01-07,1660.00,1666.95,1647.65,1654.10,1648.24,SHORT,1660.00,603,1648.24,1648.24,true,40.00,398.97,6652.31,0.66,1008184.11
2025-01-08,1654.10,1665.00,1647.00,1659.05,1655.57,SKIP,,,,,,,,,,1008184.11
2025-01-09,1659.00,1694.80,1650.00,1656.55,1657.24,SHORT,1659.00,607,1657.24,1657.24,true,40.00,402.59,625.73,0.06,1008809.84
2025-01-10,1651.00,1665.30,1630.10,1640.20,1667.02,LONG,1651.00,611,1667.02,1640.20,false,40.00,402.18,-7040.98,-0.70,1001768.86
2025-01-13,1606.00,1658.95,1606.00,1628.15,1641.85,LONG,1606.00,623,1641.85,1641.85,true,40.00,404.68,21889.87,2.19,1023658.72
2025-01-14,1628.15,1653.40,1628.15,1648.05,1639.57,LONG,1628.15,628,1639.57,1639.57,true,40.00,410.43,6721.33,0.66,1030380.06
2025-01-15,1648.05,1648.05,1626.55,1633.50,1644.24,SHORT,1648.05,625,1644.24,1644.24,true,40.00,411.54,1929.71,0.19,1032309.77
2025-01-16,1640.00,1670.75,1631.00,1650.60,1634.19,SHORT,1640.00,629,1634.19,1634.19,true,40.00,411.89,3202.60,0.31,1035512.37
2025-01-17,1650.60,1733.80,1633.15,1651.30,1642.71,SHORT,1650.60,627,1642.71,1642.71,true,40.00,412.98,4494.05,0.43,1040006.42
2025-01-20,1651.00,1655.00,1644.30,1650.50,1664.36,LONG,1651.00,629,1664.36,1650.50,false,40.00,415.33,-769.83,-0.07,1039236.59
2025-01-21,1652.25,1659.00,1645.00,1654.30,1650.68,SKIP,,,,,,,,,,1039236.59
2025-01-22,1640.00,1664.40,1638.05,1660.35,1653.09,LONG,1640.00,633,1653.09,1653.09,true,40.00,416.91,7829.06,0.75,1047065.66
2025-01-23,1660.05,1664.35,1647.20,1656.35,1658.15,SHORT,1660.05,630,1658.15,1658.15,true,40.00,418.09,738.91,0.07,1047804.56
2025-01-24,1665.00,1668.45,1641.55,1660.85,1659.17,SHORT,1665.00,629,1659.17,1659.17,true,40.00,418.18,3208.89,0.31,1051013.45
2025-01-27,1660.00,1670.00,1638.00,1662.10,1658.26,SHORT,1660.00,633,1658.26,1658.26,true,40.00,420.09,641.33,0.06,1051654.78
2025-01-28,1650.00,1659.85,1595.00,1616.40,1656.97,LONG,1650.00,637,1656.97,1656.97,true,40.00,421.31,3978.58,0.38,1055633.36
2025-01-29,1623.10,1658.75,1611.70,1647.05,1630.50,LONG,1623.10,650,1630.50,1630.50,true,40.00,422.97,4347.03,0.41,1059980.39
2025-01-30,1647.05,1670.00,1620.50,1650.35,1633.69,SHORT,1647.05,643,1633.69,1633.69,true,40.00,421.90,8128.58,0.77,1068108.97
2025-01-31,1657.75,1719.00,1652.25,1701.40,1648.21,SHORT,1657.75,644,1648.21,1701.40,false,40.00,432.66,-28583.26,-2.68,1039525.71
2025-02-01,1704.90,1746.55,1690.00,1709.95,1689.44,SHORT,1704.90,609,1689.44,1709.95,false,40.00,415.93,-3531.38,-0.34,1035994.33
