date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,778.90,795.50,771.50,793.50,1543.02,LONG,778.90,1283,1543.02,793.50,false,40.00,403.48,18288.32,1.83,1018288.32
2025-01-03,800.50,805.50,787.50,788.95,1571.94,LONG,800.50,1272,1571.94,788.95,false,40.00,404.36,-15135.96,-1.49,1003152.37
2025-01-06,799.20,799.20,750.50,755.80,1589.85,LONG,799.20,1255,1589.85,755.80,false,40.00,390.31,-54897.31,-5.47,948255.06
2025-01-07,759.85,773.00,755.70,765.70,1534.85,LONG,759.85,1247,1534.85,765.70,false,40.00,380.47,6874.48,0.73,955129.54
2025-01-08,769.75,769.80,752.50,758.40,1530.36,LONG,769.75,1240,1530.36,758.40,false,40.00,378.98,-14492.98,-1.52,940636.56
2025-01-09,757.40,764.00,746.00,747.00,1518.49,LONG,757.40,1241,1518.49,747.00,false,40.00,373.39,-13319.79,-1.42,927316.77
2025-01-10,745.60,757.00,725.50,732.05,1509.25,LONG,745.60,1243,1509.25,732.05,false,40.00,367.34,-17249.99,-1.86,910066.77
2025-01-13,721.30,726.60,697.50,702.70,1475.40,LONG,721.30,1261,1475.40,702.70,false,40.00,359.13,-23853.73,-2.62,886213.04
2025-01-14,712.30,802.50,703.75,789.80,1419.01,LONG,712.30,1244,1419.01,789.80,false,40.00,373.72,95996.28,10.83,982209.32
2025-01-15,776.05,786.00,757.50,778.50,1551.93,LONG,776.05,1265,1551.93,778.50,false,40.00,393.30,2665.95,0.27,984875.27
2025-01-16,786.20,799.50,751.10,755.45,1543.15,LONG,786.20,1252,1543.15,755.45,false,40.00,386.03,-38925.03,-3.95,945950.24
2025-01-17,756.30,764.80,752.05,756.00,1536.48,LONG,756.30,1250,1536.48,756.00,false,40.00,378.08,-793.07,-0.08,945157.16
2025-01-20,755.00,768.50,753.75,765.50,1515.74,LONG,755.00,1251,1515.74,765.50,false,40.00,380.43,12715.07,1.35,957872.23
2025-01-21,787.50,805.00,757.60,763.60,1526.15,LONG,787.50,1216,1526.15,763.60,false,40.00,377.23,-29479.63,-3.08,928392.60
2025-01-22,763.50,768.70,745.00,759.20,1564.75,LONG,763.50,1215,1564.75,759.20,false,40.00,370.02,-5634.52,-0.61,922758.09
2025-01-23,765.05,769.40,753.40,755.50,1509.89,LONG,765.05,1206,1509.89,755.50,false,40.00,366.76,-11924.06,-1.29,910834.03
2025-01-24,766.40,766.40,735.00,737.80,1520.90,LONG,766.40,1188,1520.90,737.80,false,40.00,357.40,-34374.20,-3.78,876459.83
2025-01-27,735.00,735.00,687.90,694.00,1492.50,LONG,735.00,1192,1492.50,694.00,false,40.00,340.67,-49252.67,-5.62,827207.16
2025-01-28,686.00,698.30,663.00,681.10,1398.29,LONG,686.00,1205,1398.29,681.10,false,40.00,329.47,-6273.97,-0.76,820933.19
2025-01-29,677.50,726.00,677.50,700.30,1360.45,LONG,677.50,1211,1360.45,700.30,false,40.00,333.70,27237.10,3.32,848170.29
2025-01-30,705.10,782.50,705.00,754.00,1401.35,LONG,705.10,1202,1401.35,754.00,false,40.00,350.77,58387.03,6.89,906557.32
2025-01-31,764.60,824.00,764.15,802.90,1523.77,LONG,764.60,1185,1523.77,802.90,false,40.00,371.50,44974.00,4.96,951531.32
2025-02-01,810.00,818.90,780.20,782.35,799.84,SHORT,810.00,1174,799.84,799.84,true,40.00,377.99,11509.85,1.21,963041.17
2025-02-03,765.70,783.85,726.05,732.40,800.45,LONG,765.70,1257,800.45,732.40,false,40.00,376.62,-42274.72,-4.39,920766.45
2025-02-04,749.00,759.95,724.85,731.75,747.44,SHORT,749.00,1229,747.44,747.44,true,40.00,367.82,1509.42,0.16,922275.86
2025-02-05,738.00,745.60,729.40,732.30,738.60,SKIP,,,,,,,,,,922275.86
2025-02-06,733.00,739.50,719.15,724.00,736.33,LONG,733.00,1258,736.33,736.33,true,40.00,369.68,3779.46,0.41,926055.32
2025-02-07,723.00,728.00,701.00,711.65,727.58,LONG,723.00,1280,727.58,727.58,true,40.00,371.35,5451.05,0.59,931506.37
2025-02-10,715.65,721.45,679.10,684.75,713.56,SHORT,715.65,1301,713.56,713.56,true,40.00,371.88,2307.21,0.25,933813.58
2025-02-11,683.00,684.90,653.00,656.50,689.55,LONG,683.00,1367,689.55,656.50,false,40.00,366.22,-36631.72,-3.92,897181.86
2025-02-12,653.20,654.95,595.25,623.85,660.70,LONG,653.20,1373,660.70,623.85,false,40.00,350.68,-40688.23,-4.54,856493.63
2025-02-13,625.00,652.90,625.00,629.80,618.81,SHORT,625.00,1370,618.81,629.80,false,40.00,343.82,-6959.82,-0.81,849533.82
2025-02-14,635.00,639.45,590.20,597.30,642.38,LONG,635.00,1337,642.38,597.30,false,40.00,329.52,-50774.42,-5.98,798759.40
2025-02-17,593.00,601.80,565.70,588.85,603.74,LONG,593.00,1346,603.74,588.85,false,40.00,318.15,-5944.05,-0.74,792815.35
2025-02-18,585.00,606.90,557.00,565.95,582.61,SHORT,585.00,1355,582.61,582.61,true,40.00,316.42,2882.03,0.36,795697.38
2025-02-19,563.75,608.80,559.15,604.00,572.10,LONG,563.75,1411,572.10,572.10,true,40.00,320.54,11421.31,1.44,807118.69
2025-02-20,659.15,676.20,605.25,608.50,615.94,SHORT,659.15,1224,615.94,615.94,true,40.00,312.14,52536.90,6.51,859655.59
2025-02-21,609.70,617.50,591.40,603.45,629.61,LONG,609.70,1409,629.61,603.45,false,40.00,341.87,-9188.12,-1.07,850467.47
2025-02-24,597.05,609.40,586.20,596.70,604.14,LONG,597.05,1424,604.14,604.14,true,40.00,342.10,9714.06,1.14,860181.53
2025-02-25,595.00,606.35,580.10,583.45,597.74,LONG,595.00,1445,597.74,597.74,true,40.00,344.70,3574.60,0.42,863756.13
2025-02-27,583.65,588.85,543.35,546.75,592.44,LONG,583.65,1479,592.44,546.75,false,40.00,334.37,-54949.47,-6.37,808806.66
2025-02-28,543.35,547.30,514.00,516.25,554.36,LONG,543.35,1488,554.36,516.25,false,40.00,315.34,-40680.14,-5.03,768126.52
2025-03-03,513.95,529.40,491.45,518.30,526.57,LONG,513.95,1494,526.57,526.57,true,40.00,310.91,18503.37,2.41,786629.89
2025-03-04,512.00,532.95,501.10,523.00,508.20,SHORT,512.00,1536,508.20,508.20,true,40.00,313.41,5483.39,0.70,792113.29
2025-03-05,521.00,548.80,519.95,541.30,521.32,SKIP,,,,,,,,,,792113.29
2025-03-06,537.20,556.95,537.20,539.50,538.19,LONG,537.20,1474,538.19,538.19,true,40.00,317.02,1102.24,0.14,793215.52
2025-03-07,537.20,568.85,537.20,548.50,545.66,LONG,537.20,1476,545.66,545.66,true,40.00,319.66,12127.30,1.53,805342.82
2025-03-10,554.30,556.70,523.60,526.95,556.10,LONG,554.30,1452,556.10,556.10,true,40.00,322.46,2251.14,0.28,807593.96
2025-03-11,521.00,522.65,505.30,510.00,533.92,LONG,521.00,1550,533.92,510.00,false,40.00,319.61,-17409.61,-2.16,790184.35
2025-03-12,510.15,524.80,501.95,509.10,510.42,SKIP,,,,,,,,,,790184.35
2025-03-13,507.00,515.85,494.15,497.10,511.85,LONG,507.00,1558,511.85,511.85,true,40.00,317.47,7198.83,0.91,797383.18
2025-03-17,495.00,509.00,489.80,492.95,502.04,LONG,495.00,1610,502.04,502.04,true,40.00,321.05,10973.35,1.38,808356.53
2025-03-18,494.00,523.50,494.00,521.95,499.59,LONG,494.00,1636,499.59,499.59,true,40.00,325.10,8780.14,1.09,817136.67
2025-03-19,527.65,544.00,524.75,541.05,515.26,SHORT,527.65,1548,515.26,541.05,false,40.00,330.87,-21114.07,-2.58,796022.60
2025-03-20,541.00,552.95,533.00,544.30,537.82,SHORT,541.00,1471,537.82,537.82,true,40.00,317.39,4320.39,0.54,800342.99
2025-03-21,542.45,573.00,538.05,568.90,542.48,SKIP,,,,,,,,,,800342.99
2025-03-24,574.70,672.90,574.70,664.00,562.85,SHORT,574.70,1392,562.85,664.00,false,40.00,344.85,-124690.45,-15.59,675652.54
2025-03-25,661.90,661.90,633.20,640.05,648.23,SHORT,661.90,1020,648.23,648.23,true,40.00,267.27,13636.13,2.02,689288.67
2025-03-26,639.00,645.00,615.00,616.25,645.51,LONG,639.00,1078,645.51,616.25,false,40.00,270.63,-24835.13,-3.61,664453.54
2025-03-27,614.00,622.80,601.15,607.00,626.96,LONG,614.00,1082,626.96,607.00,false,40.00,264.22,-7878.22,-1.19,656575.31
2025-03-28,608.00,624.95,593.00,595.00,608.63,LONG,608.00,1079,608.63,608.63,true,40.00,262.55,377.22,0.06,656952.54
2025-04-01,582.50,615.95,581.35,605.25,605.86,LONG,582.50,1127,605.86,605.86,true,40.00,267.86,26018.86,3.96,682971.40
2025-04-02,609.00,618.65,588.05,611.90,606.53,SHORT,609.00,1121,606.53,606.53,true,40.00,272.52,2456.35,0.36,685427.75
2025-04-03,604.00,626.00,598.00,619.85,604.59,SKIP,,,,,,,,,,685427.75
2025-04-04,619.00,624.35,593.80,603.20,613.39,SHORT,619.00,1107,613.39,613.39,true,40.00,272.85,5897.42,0.86,691325.17
2025-04-07,505.15,590.85,505.15,587.05,602.99,LONG,505.15,1368,602.99,587.05,false,40.00,298.83,111700.37,16.16,803025.54
2025-04-08,600.00,614.40,589.00,599.95,564.81,SHORT,600.00,1338,564.81,599.95,false,40.00,321.11,-294.21,-0.04,802731.33
2025-04-09,595.00,599.90,583.30,588.00,599.05,LONG,595.00,1349,599.05,599.05,true,40.00,322.15,5101.30,0.64,807832.63
2025-04-11,612.05,623.70,598.80,618.95,588.79,SHORT,612.05,1319,588.79,618.95,false,40.00,324.74,-9465.84,-1.17,798366.79
2025-04-15,633.00,634.95,623.70,629.35,612.73,SHORT,633.00,1261,612.73,629.35,false,40.00,318.36,4244.29,0.53,802611.08
2025-04-16,633.00,707.60,633.00,693.60,628.38,SHORT,633.00,1267,628.38,693.60,false,40.00,336.16,-77156.36,-9.62,725454.72
2025-04-17,694.75,703.80,682.55,701.45,691.10,SHORT,694.75,1044,691.10,691.10,true,40.00,289.37,3481.23,0.48,728935.95
2025-04-21,701.00,716.30,694.00,706.50,694.21,SHORT,701.00,1039,694.21,694.21,true,40.00,289.92,6724.89,0.92,735660.84
