symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
AADHARHFC,458.00,467.30,451.00,466.35,463.24,LONG,458.00,463.24,463.24,true,5.24,1.14
NESTLEIND,1385.00,1403.50,1368.10,1399.40,1401.57,LONG,1385.00,1401.57,1401.57,true,16.57,1.20
ONESOURCE,1820.00,1847.80,1775.00,1829.80,1826.08,LONG,1820.00,1826.08,1826.08,true,6.08,0.33
DEVYANI,114.07,115.92,111.76,111.80,115.36,LONG,114.07,115.36,115.36,true,1.29,1.13
STARHEALTH,532.95,535.25,519.75,535.05,532.36,SHORT,532.95,532.36,532.36,true,0.59,0.11
CIEINDIA,436.00,446.95,433.90,445.10,443.68,LONG,436.00,443.68,443.68,true,7.68,1.76
EMCURE,1705.20,1713.70,1667.00,1699.00,1709.59,LONG,1705.20,1709.59,1709.59,true,4.39,0.26
CYIENT,905.00,931.50,904.00,926.00,912.86,LONG,905.00,912.86,912.86,true,7.86,0.87
INDGN,510.00,520.55,510.00,518.35,515.81,LONG,510.00,515.81,515.81,true,5.81,1.14
ASTERDM,715.60,732.00,711.30,727.55,728.80,LONG,715.60,728.80,728.80,true,13.20,1.84
