symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
FLUOROCHEM,3699.95,3774.00,3638.10,3699.10,3573.20,SHORT,3699.95,3573.20,3699.10,false,0.85,0.02
KIRLOSENG,714.05,733.45,705.00,713.45,675.26,SHORT,714.05,675.26,713.45,false,0.60,0.08
GALLANTT,410.00,414.40,397.60,399.40,386.82,SHORT,410.00,386.82,399.40,false,10.60,2.59
NETWEB,1470.00,1510.95,1452.55,1460.50,1412.86,SHORT,1470.00,1412.86,1460.50,false,9.50,0.65
ANANTRAJ,439.95,440.85,422.00,433.90,415.35,SHORT,439.95,415.35,433.90,false,6.05,1.38
CRAFTSMAN,4487.00,4574.95,4366.50,4374.95,4273.78,SHORT,4487.00,4273.78,4374.95,false,112.05,2.50
PGEL,850.55,884.65,841.05,862.65,808.09,SHORT,850.55,808.09,862.65,false,-12.10,-1.42
SBFC,90.00,92.32,88.52,88.73,87.87,SHORT,90.00,87.87,88.73,false,1.27,1.41
JWL,380.00,381.40,368.50,373.85,349.49,SHORT,380.00,349.49,373.85,false,6.15,1.62
JUBLPHARMA,898.95,904.40,876.45,882.45,871.36,SHORT,898.95,871.36,882.45,false,16.50,1.84
