symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
ECLERX,1842.50,1880.00,1815.10,1843.10,3670.86,LONG,1842.50,3670.86,1843.10,false,0.60,0.03
BEML,2195.00,2203.40,2121.00,2154.60,4393.64,LONG,2195.00,4393.64,2154.60,false,-40.40,-1.84
ANGELONE,315.90,317.40,306.30,311.70,3155.37,LONG,315.90,3155.37,311.70,false,-4.20,-1.33
SPLPETRO,739.00,764.90,738.00,761.50,741.26,LONG,739.00,741.26,741.26,true,2.26,0.31
MCX,1580.00,1589.00,1514.00,1533.00,7878.93,LONG,1580.00,7878.93,1533.00,false,-47.00,-2.97
COHANCE,1010.00,1024.90,995.70,1002.50,1014.19,LONG,1010.00,1014.19,1014.19,true,4.19,0.41
AIIL,500.00,510.00,493.40,505.80,2499.15,LONG,500.00,2499.15,505.80,false,5.80,1.16
UNIONBANK,145.62,145.72,142.24,143.30,154.23,LONG,145.62,154.23,143.30,false,-2.32,-1.59
AADHARHFC,454.70,455.60,442.05,444.35,452.99,SHORT,454.70,452.99,452.99,true,1.71,0.38
SBFC,115.00,115.26,111.31,112.46,113.99,SHORT,115.00,113.99,113.99,true,1.01,0.88
