symbol,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
CANHLIFE,148.24,153.00,146.54,149.12,147.49,SHORT,148.24,147.49,147.49,true,0.75,0.51
SPLPETRO,571.70,589.90,564.20,582.25,559.61,SHORT,571.70,559.61,582.25,false,-10.55,-1.85
NIVABUPA,78.71,79.72,77.31,77.51,77.88,SHORT,78.71,77.88,77.88,true,0.83,1.05
MSUMI,42.85,43.30,42.00,42.16,42.69,SHORT,42.85,42.69,42.69,true,0.16,0.37
NAUKRI,1240.00,1276.70,1231.90,1256.20,1249.61,LONG,1240.00,1249.61,1249.61,true,9.61,0.77
BHARTIARTL,1968.70,1976.40,1901.00,1947.50,1962.60,SHORT,1968.70,1962.60,1962.60,true,6.10,0.31
EMMVEE,194.70,195.00,180.75,192.10,191.49,SHORT,194.70,191.49,191.49,true,3.21,1.65
IDEA,11.23,11.23,10.30,10.85,10.99,SHORT,11.23,10.99,10.99,true,0.24,2.14
TVSMOTOR,3680.00,3690.00,3509.10,3587.10,3672.07,SHORT,3680.00,3672.07,3672.07,true,7.93,0.22
SAIL,148.00,154.66,141.86,148.91,150.73,LONG,148.00,150.73,150.73,true,2.73,1.84
